Date,Ticker,Weights
2016-12-30,KESKOB FH Equity,0.044791
2016-12-30,MRW LN Equity,0.0
2016-12-30,TSCO LN Equity,0.0
2016-12-30,MOWI NO Equity,0.001769
2016-12-30,JMT PL Equity,0.0
2016-12-30,CCH LN Equity,0.0
2016-12-30,CPR IM Equity,0.0
2016-12-30,TATE LN Equity,0.036438
2016-12-30,ORK NO Equity,0.019933
2016-12-30,BARN SE Equity,0.0
2016-12-30,BATS LN Equity,0.051438
2016-12-30,ARYN SW Equity,0.0
2016-12-30,HEN3 GY Equity,0.0
2016-12-30,OCDO LN Equity,0.0
2016-12-30,DGE LN Equity,0.049282
2016-12-30,ULVR LN Equity,0.0
2016-12-30,RKT LN Equity,0.022153
2016-12-30,OR FP Equity,0.0
2016-12-30,KER FP Equity,0.0
2016-12-30,ADS GY Equity,0.01934
2016-12-30,ENT LN Equity,0.056091
2016-12-30,SK FP Equity,0.0
2016-12-30,ZAL GY Equity,0.0
2016-12-30,MC FP Equity,0.0
2016-12-30,CDI FP Equity,0.0
2016-12-30,BRBY LN Equity,0.0
2016-12-30,FR FP Equity,0.0
2016-12-30,RMS FP Equity,0.0
2016-12-30,ML FP Equity,0.0
2016-12-30,MONC IM Equity,0.0
2016-12-30,CCL LN Equity,0.0
2016-12-30,GN DC Equity,0.0
2016-12-30,SW FP Equity,0.0
2016-12-30,STLAM IM Equity,0.0
2016-12-30,JM SS Equity,0.0
2016-12-30,KGF LN Equity,0.015928
2016-12-30,GKN LN Equity,0.0
2016-12-30,BWY LN Equity,0.0
2016-12-30,UG FP Equity,0.0
2016-12-30,AMS SQ Equity,0.0
2016-12-30,AVOL SW Equity,0.0
2016-12-30,CPG LN Equity,0.005832
2016-12-30,PAH3 GY Equity,0.0
2016-12-30,PTEC LN Equity,0.026622
2016-12-30,OPM FP Equity,0.0
2016-12-30,TLW LN Equity,0.0
2016-12-30,SUBC NO Equity,0.0
2016-12-30,TEC FP Equity,0.0
2016-12-30,NESTE FH Equity,0.0
2016-12-30,WG/ LN Equity,0.0
2016-12-30,TEN IM Equity,0.0
2016-12-30,SBMO NA Equity,0.0
2016-12-30,OMV AV Equity,0.0
2016-12-30,DL NA Equity,0.0
2016-12-30,RBI AV Equity,0.0
2016-12-30,STB NO Equity,0.0
2016-12-30,III LN Equity,0.0
2016-12-30,MAP SQ Equity,0.0
2016-12-30,CNP FP Equity,0.0
2016-12-30,PGHN SW Equity,0.013642
2016-12-30,HSBA LN Equity,0.0
2016-12-30,BARC LN Equity,0.0
2016-12-30,BNP FP Equity,0.0
2016-12-30,INGA NA Equity,0.0
2016-12-30,NDA SS Equity,0.0
2016-12-30,DNB NO Equity,0.0
2016-12-30,SHBA SS Equity,0.0
2016-12-30,GLE FP Equity,0.0
2016-12-30,ACA FP Equity,0.0
2016-12-30,ABN NA Equity,0.003767
2016-12-30,SWEDA SS Equity,0.0
2016-12-30,RSA LN Equity,0.0
2016-12-30,ARLN GY Equity,0.0
2016-12-30,KN FP Equity,0.0
2016-12-30,BKT SQ Equity,0.0
2016-12-30,SEBA SS Equity,0.0
2016-12-30,SLHN SW Equity,0.0
2016-12-30,DANSKE DC Equity,0.0
2016-12-30,AGN NA Equity,0.0
2016-12-30,CMBN SE Equity,0.058305
2016-12-30,STAN LN Equity,0.0
2016-12-30,KBC BB Equity,0.0
2016-12-30,LUNDB SS Equity,0.0
2016-12-30,CABK SQ Equity,0.0
2016-12-30,PRU LN Equity,0.0
2016-12-30,INDUA SS Equity,0.0
2016-12-30,CBG LN Equity,0.0
2016-12-30,EDEN FP Equity,0.0
2016-12-30,ICG LN Equity,0.0
2016-12-30,EBS AV Equity,0.0
2016-12-30,INVP LN Equity,0.0
2016-12-30,JYSK DC Equity,0.0
2016-12-30,SAN SQ Equity,0.0
2016-12-30,MF FP Equity,0.0
2016-12-30,ALSYDB DC Equity,0.0
2016-12-30,NN NA Equity,0.0
2016-12-30,ZURN SW Equity,0.0
2016-12-30,CAST SS Equity,0.0
2016-12-30,BWO AV Equity,0.005528
2016-12-30,GFC FP Equity,0.0
2016-12-30,DWNI GY Equity,0.0
2016-12-30,ICAD FP Equity,0.0
2016-12-30,FABG SS Equity,0.0
2016-12-30,SHB LN Equity,0.026856
2016-12-30,COFB BB Equity,0.05433
2016-12-30,SPSN SE Equity,0.050742
2016-12-30,VNA GY Equity,0.0
2016-12-30,SGRO LN Equity,0.0
2016-12-30,WEIR LN Equity,0.0
2016-12-30,AHT LN Equity,0.0
2016-12-30,SAND SS Equity,0.0
2016-12-30,MRO LN Equity,0.007522
2016-12-30,HOT GY Equity,0.0
