Date,Ticker,Weights
2016-12-30,KESKOB FH Equity,0.00499
2016-12-30,MRW LN Equity,0.004613
2016-12-30,TSCO LN Equity,0.003384
2016-12-30,MOWI NO Equity,0.005005
2016-12-30,JMT PL Equity,0.005002
2016-12-30,CCH LN Equity,0.004774
2016-12-30,CPR IM Equity,0.004682
2016-12-30,TATE LN Equity,0.005095
2016-12-30,ORK NO Equity,0.00633
2016-12-30,BARN SE Equity,0.005355
2016-12-30,BATS LN Equity,0.006542
2016-12-30,ARYN SW Equity,0.003629
2016-12-30,HEN3 GY Equity,0.006355
2016-12-30,OCDO LN Equity,0.002335
2016-12-30,DGE LN Equity,0.006919
2016-12-30,ULVR LN Equity,0.00642
2016-12-30,RKT LN Equity,0.006887
2016-12-30,OR FP Equity,0.006149
2016-12-30,KER FP Equity,0.004474
2016-12-30,ADS GY Equity,0.004984
2016-12-30,ENT LN Equity,0.004028
2016-12-30,SK FP Equity,0.004648
2016-12-30,ZAL GY Equity,0.003007
2016-12-30,MC FP Equity,0.004926
2016-12-30,CDI FP Equity,0.005297
2016-12-30,BRBY LN Equity,0.003809
2016-12-30,FR FP Equity,0.003739
2016-12-30,RMS FP Equity,0.005501
2016-12-30,ML FP Equity,0.005566
2016-12-30,MONC IM Equity,0.004057
2016-12-30,CCL LN Equity,0.004592
2016-12-30,GN DC Equity,0.004625
2016-12-30,SW FP Equity,0.00584
2016-12-30,STLAM IM Equity,0.002618
2016-12-30,JM SS Equity,0.004272
2016-12-30,KGF LN Equity,0.005086
2016-12-30,GKN LN Equity,0.004467
2016-12-30,BWY LN Equity,0.002662
2016-12-30,UG FP Equity,0.002968
2016-12-30,AMS SQ Equity,0.00557
2016-12-30,AVOL SW Equity,0.004065
2016-12-30,CPG LN Equity,0.006002
2016-12-30,PAH3 GY Equity,0.003398
2016-12-30,PTEC LN Equity,0.005263
2016-12-30,OPM FP Equity,0.004074
2016-12-30,TLW LN Equity,0.001724
2016-12-30,SUBC NO Equity,0.002825
2016-12-30,TEC FP Equity,0.003111
2016-12-30,NESTE FH Equity,0.004262
2016-12-30,WG/ LN Equity,0.003954
2016-12-30,TEN IM Equity,0.003177
2016-12-30,SBMO NA Equity,0.00304
2016-12-30,OMV AV Equity,0.004462
2016-12-30,DL NA Equity,0.002031
2016-12-30,RBI AV Equity,0.00332
2016-12-30,STB NO Equity,0.003197
2016-12-30,III LN Equity,0.004094
2016-12-30,MAP SQ Equity,0.003539
2016-12-30,CNP FP Equity,0.003906
2016-12-30,PGHN SW Equity,0.005427
2016-12-30,HSBA LN Equity,0.00489
2016-12-30,BARC LN Equity,0.002749
2016-12-30,BNP FP Equity,0.003213
2016-12-30,INGA NA Equity,0.003268
2016-12-30,NDA SS Equity,0.004481
2016-12-30,DNB NO Equity,0.003882
2016-12-30,SHBA SS Equity,0.004412
2016-12-30,GLE FP Equity,0.002688
2016-12-30,ACA FP Equity,0.003081
2016-12-30,ABN NA Equity,0.003558
2016-12-30,SWEDA SS Equity,0.004781
2016-12-30,RSA LN Equity,0.005164
2016-12-30,ARLN GY Equity,0.003668
2016-12-30,KN FP Equity,0.002852
2016-12-30,BKT SQ Equity,0.004445
2016-12-30,SEBA SS Equity,0.004187
2016-12-30,SLHN SW Equity,0.005416
2016-12-30,DANSKE DC Equity,0.004722
2016-12-30,AGN NA Equity,0.002839
2016-12-30,CMBN SE Equity,0.007027
2016-12-30,STAN LN Equity,0.002686
2016-12-30,KBC BB Equity,0.003278
2016-12-30,LUNDB SS Equity,0.006267
2016-12-30,CABK SQ Equity,0.002873
2016-12-30,PRU LN Equity,0.003306
2016-12-30,INDUA SS Equity,0.005673
2016-12-30,CBG LN Equity,0.003868
2016-12-30,EDEN FP Equity,0.003358
2016-12-30,ICG LN Equity,0.003285
2016-12-30,EBS AV Equity,0.00335
2016-12-30,INVP LN Equity,0.003913
2016-12-30,JYSK DC Equity,0.004172
2016-12-30,SAN SQ Equity,0.002786
2016-12-30,MF FP Equity,0.005244
2016-12-30,ALSYDB DC Equity,0.00418
2016-12-30,NN NA Equity,0.004244
2016-12-30,ZURN SW Equity,0.004465
2016-12-30,CAST SS Equity,0.005912
2016-12-30,BWO AV Equity,0.005294
2016-12-30,GFC FP Equity,0.005774
2016-12-30,DWNI GY Equity,0.004993
2016-12-30,ICAD FP Equity,0.00545
2016-12-30,FABG SS Equity,0.005592
2016-12-30,SHB LN Equity,0.006045
2016-12-30,COFB BB Equity,0.00753
2016-12-30,SPSN SE Equity,0.007578
2016-12-30,VNA GY Equity,0.005126
2016-12-30,SGRO LN Equity,0.004815
2016-12-30,WEIR LN Equity,0.002938
2016-12-30,AHT LN Equity,0.003392
2016-12-30,SAND SS Equity,0.004136
2016-12-30,MRO LN Equity,0.001203
2016-12-30,HOT GY Equity,0.004348
2016-12-30,SMIN LN Equity,0.005015
2016-12-30,ATCOA SS Equity,0.004153
2016-12-30,SAABB SS Equity,0.005111
2016-12-30,PNL NA Equity,0.003531
2016-12-30,SIG LN Equity,0.003979
2016-12-30,NELES FH Equity,0.003615
2016-12-30,HO FP Equity,0.005681
2016-12-30,1CNHI IM Equity,0.003013
2016-12-30,SKAB SS Equity,0.004707
2016-12-30,RXL FP Equity,0.003073
2016-12-30,2462936D LN Equity,0.005234
2016-12-30,SKFB SS Equity,0.004021
2016-12-30,RTO LN Equity,0.006605
2016-12-30,SPX LN Equity,0.005821
2016-12-30,VOLVB SS Equity,0.004214
2016-12-30,NCCB SS Equity,0.004912
2016-12-30,MGGT LN Equity,0.004182
2016-12-30,GFS LN Equity,0.003386
2016-12-30,GF SE Equity,0.005224
2016-12-30,KGX GY Equity,0.004618
2016-12-30,TEP FP Equity,0.005097
2016-12-30,RHM GY Equity,0.003795
2016-12-30,HAS LN Equity,0.003129
2016-12-30,ROR LN Equity,0.003305
2016-12-30,SU FP Equity,0.004193
2016-12-30,SIE GY Equity,0.005034
2016-12-30,SGRE SQ Equity,0.0031
2016-12-30,BA/ LN Equity,0.00587
2016-12-30,HUSQB SS Equity,0.005029
2016-12-30,KSP ID Equity,0.00301
2016-12-30,DHL GY Equity,0.005197
2016-12-30,EXPN LN Equity,0.006371
2016-12-30,LDO IM Equity,0.003296
2016-12-30,DSV DC Equity,0.004472
2016-12-30,MTX GY Equity,0.005077
2016-12-30,GEBN SW Equity,0.006446
2016-12-30,OSR GY Equity,0.00401
2016-12-30,PRY IM Equity,0.003751
2016-12-30,AENA SQ Equity,0.005397
2016-12-30,ABBN SW Equity,0.006045
2016-12-30,BBY LN Equity,0.003544
2016-12-30,ANDR AV Equity,0.004927
2016-12-30,IMCD NA Equity,0.005183
2016-12-30,AAL LN Equity,0.001558
2016-12-30,GLEN LN Equity,0.00188
2016-12-30,MT NA Equity,0.001949
2016-12-30,1COV GY Equity,0.003822
2016-12-30,BOL SS Equity,0.003026
2016-12-30,1986986D LN Equity,0.002455
2016-12-30,CEY LN Equity,0.002261
2016-12-30,ANTO LN Equity,0.00235
2016-12-30,LXS GY Equity,0.004118
2016-12-30,RIO LN Equity,0.002855
2016-12-30,RPC LN Equity,0.004821
2016-12-30,AKE FP Equity,0.004502
2016-12-30,UMI BB Equity,0.004899
2016-12-30,SIKA SW Equity,0.005008
2016-12-30,UPM FH Equity,0.003734
