Date,Ticker,Weights
2016-12-30,KESKOB FH Equity,0.013027
2016-12-30,MRW LN Equity,0.012053
2016-12-30,TSCO LN Equity,0.011633
2016-12-30,MOWI NO Equity,0.007857
2016-12-30,JMT PL Equity,0.006148
2016-12-30,CCH LN Equity,0.006031
2016-12-30,CPR IM Equity,0.00383
2016-12-30,TATE LN Equity,0.003335
2016-12-30,ORK NO Equity,0.002862
2016-12-30,BARN SE Equity,0.002827
2016-12-30,BATS LN Equity,0.002041
2016-12-30,ARYN SW Equity,0.001883
2016-12-30,HEN3 GY Equity,0.001859
2016-12-30,OCDO LN Equity,0.00131
2016-12-30,DGE LN Equity,0.001309
2016-12-30,ULVR LN Equity,0.000423
2016-12-30,RKT LN Equity,0.000323
2016-12-30,OR FP Equity,4.5e-05
2016-12-30,KER FP Equity,0.012146
2016-12-30,ADS GY Equity,0.011014
2016-12-30,ENT LN Equity,0.009799
2016-12-30,SK FP Equity,0.008101
2016-12-30,ZAL GY Equity,0.007582
2016-12-30,MC FP Equity,0.007201
2016-12-30,CDI FP Equity,0.006985
2016-12-30,BRBY LN Equity,0.006885
2016-12-30,FR FP Equity,0.006846
2016-12-30,RMS FP Equity,0.006519
2016-12-30,ML FP Equity,0.005236
2016-12-30,MONC IM Equity,0.004185
2016-12-30,CCL LN Equity,0.003973
2016-12-30,GN DC Equity,0.003419
2016-12-30,SW FP Equity,0.002703
2016-12-30,STLAM IM Equity,0.002462
2016-12-30,JM SS Equity,0.002433
2016-12-30,KGF LN Equity,0.001893
2016-12-30,GKN LN Equity,0.001867
2016-12-30,BWY LN Equity,0.001728
2016-12-30,UG FP Equity,0.001686
2016-12-30,AMS SQ Equity,0.001504
2016-12-30,AVOL SW Equity,0.001458
2016-12-30,CPG LN Equity,0.001175
2016-12-30,PAH3 GY Equity,0.001142
2016-12-30,PTEC LN Equity,0.001128
2016-12-30,OPM FP Equity,0.001075
2016-12-30,TLW LN Equity,0.008864
2016-12-30,SUBC NO Equity,0.00681
2016-12-30,TEC FP Equity,0.006067
2016-12-30,NESTE FH Equity,0.004332
2016-12-30,WG/ LN Equity,0.003398
2016-12-30,TEN IM Equity,0.003388
2016-12-30,SBMO NA Equity,0.002302
2016-12-30,OMV AV Equity,0.001316
2016-12-30,DL NA Equity,0.014154
2016-12-30,RBI AV Equity,0.010247
2016-12-30,STB NO Equity,0.008856
2016-12-30,III LN Equity,0.008741
2016-12-30,MAP SQ Equity,0.008128
2016-12-30,CNP FP Equity,0.007257
2016-12-30,PGHN SW Equity,0.006817
2016-12-30,HSBA LN Equity,0.006695
2016-12-30,BARC LN Equity,0.006579
2016-12-30,BNP FP Equity,0.004868
2016-12-30,INGA NA Equity,0.004853
2016-12-30,NDA SS Equity,0.004659
2016-12-30,DNB NO Equity,0.004644
2016-12-30,SHBA SS Equity,0.004451
2016-12-30,GLE FP Equity,0.004395
2016-12-30,ACA FP Equity,0.00438
2016-12-30,ABN NA Equity,0.003859
2016-12-30,SWEDA SS Equity,0.003844
2016-12-30,RSA LN Equity,0.00363
2016-12-30,ARLN GY Equity,0.003613
2016-12-30,KN FP Equity,0.003223
2016-12-30,BKT SQ Equity,0.003115
2016-12-30,SEBA SS Equity,0.002939
2016-12-30,SLHN SW Equity,0.002817
2016-12-30,DANSKE DC Equity,0.002779
2016-12-30,AGN NA Equity,0.002725
2016-12-30,CMBN SE Equity,0.002675
2016-12-30,STAN LN Equity,0.00265
2016-12-30,KBC BB Equity,0.002554
2016-12-30,LUNDB SS Equity,0.00235
2016-12-30,CABK SQ Equity,0.002242
2016-12-30,PRU LN Equity,0.002146
2016-12-30,INDUA SS Equity,0.002087
2016-12-30,CBG LN Equity,0.001863
2016-12-30,EDEN FP Equity,0.00183
2016-12-30,ICG LN Equity,0.00172
2016-12-30,EBS AV Equity,0.00165
2016-12-30,INVP LN Equity,0.00158
2016-12-30,JYSK DC Equity,0.001565
2016-12-30,SAN SQ Equity,0.001556
2016-12-30,MF FP Equity,0.001216
2016-12-30,ALSYDB DC Equity,0.00116
2016-12-30,NN NA Equity,0.000898
2016-12-30,ZURN SW Equity,0.000845
2016-12-30,CAST SS Equity,0.007804
2016-12-30,BWO AV Equity,0.007167
2016-12-30,GFC FP Equity,0.006048
2016-12-30,DWNI GY Equity,0.00549
2016-12-30,ICAD FP Equity,0.005023
2016-12-30,FABG SS Equity,0.004844
2016-12-30,SHB LN Equity,0.004238
2016-12-30,COFB BB Equity,0.004235
2016-12-30,SPSN SE Equity,0.00332
2016-12-30,VNA GY Equity,0.003108
2016-12-30,SGRO LN Equity,0.00249
2016-12-30,WEIR LN Equity,0.01406
2016-12-30,AHT LN Equity,0.010799
2016-12-30,SAND SS Equity,0.009474
2016-12-30,MRO LN Equity,0.009279
2016-12-30,HOT GY Equity,0.008625
2016-12-30,SMIN LN Equity,0.008239
2016-12-30,ATCOA SS Equity,0.007103
2016-12-30,SAABB SS Equity,0.007051
2016-12-30,PNL NA Equity,0.006686
2016-12-30,SIG LN Equity,0.006547
2016-12-30,NELES FH Equity,0.006142
2016-12-30,HO FP Equity,0.006117
2016-12-30,1CNHI IM Equity,0.005372
2016-12-30,SKAB SS Equity,0.005162
2016-12-30,RXL FP Equity,0.004764
2016-12-30,2462936D LN Equity,0.00445
2016-12-30,SKFB SS Equity,0.004443
2016-12-30,RTO LN Equity,0.004371
2016-12-30,SPX LN Equity,0.004309
2016-12-30,VOLVB SS Equity,0.00424
2016-12-30,NCCB SS Equity,0.003937
2016-12-30,MGGT LN Equity,0.003922
2016-12-30,GFS LN Equity,0.003817
2016-12-30,GF SE Equity,0.003731
2016-12-30,KGX GY Equity,0.003615
2016-12-30,TEP FP Equity,0.003542
2016-12-30,RHM GY Equity,0.003103
2016-12-30,HAS LN Equity,0.003102
2016-12-30,ROR LN Equity,0.003071
2016-12-30,SU FP Equity,0.003019
2016-12-30,SIE GY Equity,0.002911
2016-12-30,SGRE SQ Equity,0.002717
2016-12-30,BA/ LN Equity,0.002711
2016-12-30,HUSQB SS Equity,0.002345
2016-12-30,KSP ID Equity,0.002339
2016-12-30,DHL GY Equity,0.00231
2016-12-30,EXPN LN Equity,0.002272
2016-12-30,LDO IM Equity,0.002221
2016-12-30,DSV DC Equity,0.002044
2016-12-30,MTX GY Equity,0.001955
2016-12-30,GEBN SW Equity,0.001843
2016-12-30,OSR GY Equity,0.001745
2016-12-30,PRY IM Equity,0.001635
2016-12-30,AENA SQ Equity,0.001287
2016-12-30,ABBN SW Equity,0.001242
2016-12-30,BBY LN Equity,0.001152
2016-12-30,ANDR AV Equity,0.001081
2016-12-30,IMCD NA Equity,0.000965
2016-12-30,AAL LN Equity,0.02001
2016-12-30,GLEN LN Equity,0.016066
2016-12-30,MT NA Equity,0.010451
2016-12-30,1COV GY Equity,0.005765
2016-12-30,BOL SS Equity,0.004552
2016-12-30,1986986D LN Equity,0.004489
2016-12-30,CEY LN Equity,0.003627
2016-12-30,ANTO LN Equity,0.003336
2016-12-30,LXS GY Equity,0.002735
2016-12-30,RIO LN Equity,0.002639
2016-12-30,RPC LN Equity,0.002161
2016-12-30,AKE FP Equity,0.001794
2016-12-30,UMI BB Equity,0.001568
2016-12-30,SIKA SW Equity,0.001005
2016-12-30,UPM FH Equity,0.000989
2016-12-30,NHY NO Equity,0.000764
2016-12-30,VOE AV Equity,0.000235
2016-12-30,LNA GY Equity,8e-05
2016-12-30,FRES LN Equity,3.7e-05
2016-12-30,HOLN SW Equity,0.0
2016-12-30,CRH ID Equity,0.0
2016-12-30,MNDI LN Equity,0.0
2016-12-30,ORRON SS Equity,0.015713
2016-12-30,RUI FP Equity,0.00795
2016-12-30,ELE SQ Equity,0.006152
2016-12-30,DRX LN Equity,0.003863
2016-12-30,ENEL IM Equity,0.002132
2016-12-30,FORTUM FH Equity,0.002103
2016-12-30,CEZ CK Equity,0.002
2016-12-30,SSE LN Equity,0.001389
2016-12-30,SVT LN Equity,0.00109
2016-12-30,CNA LN Equity,0.000952
2016-12-30,ATC NA Equity,0.01156
2016-12-30,DMGT LN Equity,0.009729
2016-12-30,UBM LN Equity,0.008825
2016-12-30,TNET BB Equity,0.007321
2016-12-30,UBI FP Equity,0.00686
2016-12-30,WPP LN Equity,0.006544
2016-12-30,TDC DC Equity,0.005555
2016-12-30,INF LN Equity,0.005145
2016-12-30,SRCG SE Equity,0.004793
2016-12-30,AUTO LN Equity,0.003804
2016-12-30,MMB FP Equity,0.003729
2016-12-30,PUB FP Equity,0.003204
2016-12-30,VIV FP Equity,0.002682
2016-12-30,TL5 SQ Equity,0.001853
2016-12-30,RMV LN Equity,0.001227
2016-12-30,DTE GY Equity,0.000706
2016-12-30,TEL2B SS Equity,0.000583
2016-12-30,SESG FP Equity,0.000237
2016-12-30,INDV LN Equity,0.013403
2016-12-30,ATLN SW Equity,0.008303
2016-12-30,ERF FP Equity,0.006844
2016-12-30,ORNBV FH Equity,0.005738
2016-12-30,QIA GY Equity,0.005291
2016-12-30,PHIA NA Equity,0.004931
2016-12-30,GMAB DC Equity,0.00473
2016-12-30,LONN SW Equity,0.003553
2016-12-30,SAZ GY Equity,0.003383
2016-12-30,SRT3 GY Equity,0.003329
2016-12-30,HLUNB DC Equity,0.003139
2016-12-30,IPN FP Equity,0.002887
2016-12-30,EKTAB SS Equity,0.002688
2016-12-30,STMN SE Equity,0.002318
2016-12-30,GLPG NA Equity,0.001805
2016-12-30,MRK GY Equity,0.001653
2016-12-30,STMMI IM Equity,0.01075
2016-12-30,LOGN SW Equity,0.009268
2016-12-30,TEMN SE Equity,0.005732
2016-12-30,MCRO LN Equity,0.004103
2016-12-30,DLG GY Equity,0.003906
2016-12-30,ATO FP Equity,0.003636
2016-12-30,IFX GY Equity,0.002051
2016-12-30,SOW GY Equity,0.001738
2016-12-30,ASML NA Equity,0.00101
2016-12-30,ASM NA Equity,0.000901
2016-12-30,CO FP Equity,-0.002157
2016-12-30,1844030D NA Equity,-0.002318
2016-12-30,NESN SW Equity,-0.002523
2016-12-30,HEIO NA Equity,-0.002558
2016-12-30,BEI GY Equity,-0.002597
2016-12-30,CA FP Equity,-0.002833
2016-12-30,IMB LN Equity,-0.002992
2016-12-30,AD NA Equity,-0.003816
2016-12-30,BVIC LN Equity,-0.003947
2016-12-30,MKS LN Equity,-0.004009
2016-12-30,HEIA NA Equity,-0.004212
2016-12-30,VIS SQ Equity,-0.004881
2016-12-30,KYGA ID Equity,-0.005066
2016-12-30,ABF LN Equity,-0.005148
2016-12-30,ABI BB Equity,-0.005389
2016-12-30,ONTEX BB Equity,-0.005524
2016-12-30,LISN SW Equity,-0.006145
2016-12-30,DIA SQ Equity,-0.006899
2016-12-30,HMB SS Equity,-0.001604
2016-12-30,AA/ LN Equity,-0.001839
2016-12-30,AMEAS FH Equity,-0.001929
2016-12-30,MERL LN Equity,-0.002165
2016-12-30,LUX IM Equity,-0.002314
2016-12-30,WMH LN Equity,-0.002584
2016-12-30,UHR SW Equity,-0.002879
2016-12-30,BTRW LN Equity,-0.003077
2016-12-30,PSON LN Equity,-0.003119
2016-12-30,PNDORA DC Equity,-0.003485
2016-12-30,RNO FP Equity,-0.003585
2016-12-30,TW/ LN Equity,-0.004083
2016-12-30,FLTR ID Equity,-0.004194
2016-12-30,BME LN Equity,-0.004262
2016-12-30,SNH GY Equity,-0.004574
2016-12-30,SMWH LN Equity,-0.004915
2016-12-30,AC FP Equity,-0.005195
2016-12-30,2578464D GY Equity,-0.005373
2016-12-30,WTB LN Equity,-0.005644
2016-12-30,BOSS GY Equity,-0.005683
2016-12-30,KINDSDB SS Equity,-0.005907
2016-12-30,INCH LN Equity,-0.006202
2016-12-30,CON GY Equity,-0.006379
2016-12-30,CURY LN Equity,-0.007031
2016-12-30,NXT LN Equity,-0.007684
2016-12-30,BKG LN Equity,-0.008057
2016-12-30,GNK LN Equity,-0.008918
2016-12-30,TTE FP Equity,-0.002126
2016-12-30,RDSA NA Equity,-0.002314
2016-12-30,VPK NA Equity,-0.002681
2016-12-30,PFC LN Equity,-0.003389
2016-12-30,AMFW LN Equity,-0.005274
2016-12-30,ENI IM Equity,-0.00565
2016-12-30,BOL FP Equity,-0.007347
2016-12-30,SPM IM Equity,-0.008683
2016-12-30,GBLB BB Equity,-0.000798
2016-12-30,TOP DC Equity,-0.000863
2016-12-30,SAMPO FH Equity,-0.000875
2016-12-30,BEZ LN Equity,-0.000999
2016-12-30,PARG SE Equity,-0.001009
